x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,475.09888,338.222
20.0,0.0,0.0,428.28598,337.8982
40.0,0.0,0.0,382.264,337.24457
60.0,0.0,0.0,337.5272,335.8933
80.0,0.0,0.0,294.7347,334.31122
100.0,0.0,0.0,253.8779,332.34198
120.0,0.0,0.0,215.26682,330.42017
0.0,20.0,0.0,475.36432,291.32504
20.0,20.0,0.0,428.59717,291.46115
40.0,20.0,0.0,382.58835,291.2879
60.0,20.0,0.0,338.1258,290.76868
80.0,20.0,0.0,295.2498,290.25952
100.0,20.0,0.0,254.62248,289.6514
120.0,20.0,0.0,216.08049,288.64847
0.0,40.0,0.0,474.92773,244.14186
20.0,40.0,0.0,428.47397,244.55363
40.0,40.0,0.0,382.7153,245.33481
60.0,40.0,0.0,338.54727,245.72778
80.0,40.0,0.0,296.09604,246.13138
100.0,40.0,0.0,255.4454,246.43456
120.0,40.0,0.0,217.25883,246.82684
0.0,60.0,0.0,473.99194,198.02429
20.0,60.0,0.0,427.8914,198.93939
40.0,60.0,0.0,382.7601,200.21938
60.0,60.0,0.0,338.93033,201.50636
80.0,60.0,0.0,297.06647,202.78793
100.0,60.0,0.0,256.93597,204.27267
120.0,60.0,0.0,218.83783,205.89507
0.0,80.0,0.0,472.39154,153.32446
20.0,80.0,0.0,427.01678,154.5337
40.0,80.0,0.0,382.6744,156.35828
60.0,80.0,0.0,339.50348,158.40747
80.0,80.0,0.0,298.1204,160.62053
100.0,80.0,0.0,258.5221,163.1937
120.0,80.0,0.0,220.92564,165.85986
0.0,100.0,0.0,470.29395,110.21005
20.0,100.0,0.0,425.8446,112.190895
40.0,100.0,0.0,382.41174,114.39066
60.0,100.0,0.0,340.14276,117.28228
80.0,100.0,0.0,299.31345,120.21032
100.0,100.0,0.0,260.33713,123.72382
120.0,100.0,0.0,223.25432,127.10598
