x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,497.8023,374.59332
20.0,0.0,0.0,449.85168,357.67264
40.0,0.0,0.0,402.11703,340.5039
60.0,0.0,0.0,355.30536,323.20367
80.0,0.0,0.0,309.9763,305.9744
100.0,0.0,0.0,266.59933,289.13867
120.0,0.0,0.0,225.44476,272.79196
0.0,20.0,0.0,513.8261,326.6885
20.0,20.0,0.0,466.53647,310.29
40.0,20.0,0.0,419.44812,293.7587
60.0,20.0,0.0,373.09537,277.3749
80.0,20.0,0.0,327.98587,261.40094
100.0,20.0,0.0,284.9946,245.74509
120.0,20.0,0.0,244.13309,231.03491
0.0,40.0,0.0,528.2709,279.97504
20.0,40.0,0.0,481.9497,264.0864
40.0,40.0,0.0,435.5939,248.37943
60.0,40.0,0.0,390.01468,232.96855
80.0,40.0,0.0,345.79678,218.18791
100.0,40.0,0.0,303.17877,203.89424
120.0,40.0,0.0,262.49594,190.5555
0.0,60.0,0.0,541.2178,235.30359
20.0,60.0,0.0,495.9281,220.15718
40.0,60.0,0.0,450.6888,205.27307
60.0,60.0,0.0,406.07907,190.71184
80.0,60.0,0.0,362.61816,177.00761
100.0,60.0,0.0,320.51935,163.91896
120.0,60.0,0.0,280.2096,151.79579
0.0,80.0,0.0,552.4137,193.25298
20.0,80.0,0.0,508.50674,178.62515
40.0,80.0,0.0,464.54053,164.44774
60.0,80.0,0.0,421.07114,150.89996
80.0,80.0,0.0,378.44528,138.1373
100.0,80.0,0.0,337.17285,126.30776
120.0,80.0,0.0,297.56253,115.207405
0.0,100.0,0.0,562.362,153.60532
20.0,100.0,0.0,519.7299,139.58
40.0,100.0,0.0,477.11368,126.34714
60.0,100.0,0.0,434.7173,113.61638
80.0,100.0,0.0,393.2328,102.01085
100.0,100.0,0.0,353.019,91.03333
120.0,100.0,0.0,313.96414,81.24666
