x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,416.2941,57.344803
20.0,0.0,0.0,421.86346,97.671875
40.0,0.0,0.0,427.28583,138.1302
60.0,0.0,0.0,432.28372,177.8815
80.0,0.0,0.0,436.68015,216.69023
100.0,0.0,0.0,440.84296,254.49101
120.0,0.0,0.0,444.4224,290.70328
0.0,20.0,0.0,380.86444,60.19878
20.0,20.0,0.0,387.01578,102.23418
40.0,20.0,0.0,392.7939,144.08575
60.0,20.0,0.0,398.23096,185.2306
80.0,20.0,0.0,403.4035,225.41046
100.0,20.0,0.0,408.17255,264.16373
120.0,20.0,0.0,412.5907,301.50818
0.0,40.0,0.0,342.65048,63.997887
20.0,40.0,0.0,349.3436,107.347145
40.0,40.0,0.0,355.57333,150.70917
60.0,40.0,0.0,361.66647,193.32156
80.0,40.0,0.0,367.55228,234.68474
100.0,40.0,0.0,373.1279,274.63626
120.0,40.0,0.0,378.3971,312.8489
0.0,60.0,0.0,301.82907,68.50214
20.0,60.0,0.0,308.6065,113.38534
40.0,60.0,0.0,315.7734,158.22682
60.0,60.0,0.0,322.43216,202.06044
80.0,60.0,0.0,329.21378,244.6057
100.0,60.0,0.0,335.6914,285.50992
120.0,60.0,0.0,342.06232,324.7176
0.0,80.0,0.0,258.32513,74.17632
20.0,80.0,0.0,265.64798,120.3419
40.0,80.0,0.0,273.18323,166.45982
60.0,80.0,0.0,280.65314,211.47191
80.0,80.0,0.0,288.35315,255.0474
100.0,80.0,0.0,295.91013,296.88052
120.0,80.0,0.0,303.4512,337.01004
0.0,100.0,0.0,212.63684,80.59869
20.0,100.0,0.0,220.40764,128.11359
40.0,100.0,0.0,228.46637,175.19879
60.0,100.0,0.0,236.96985,221.38554
80.0,100.0,0.0,245.63885,266.10184
100.0,100.0,0.0,254.30962,308.69342
120.0,100.0,0.0,263.06686,349.2281
