x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,279.634,378.69177
20.0,0.0,0.0,271.65417,328.0467
40.0,0.0,0.0,264.44034,280.78314
60.0,0.0,0.0,258.22543,237.1749
80.0,0.0,0.0,253.03946,197.0701
100.0,0.0,0.0,248.22682,160.48253
120.0,0.0,0.0,244.29248,127.00344
0.0,20.0,0.0,332.1997,367.21848
20.0,20.0,0.0,322.12408,316.36282
40.0,20.0,0.0,312.95276,269.1547
60.0,20.0,0.0,304.7328,225.60849
80.0,20.0,0.0,297.34335,185.71701
100.0,20.0,0.0,290.6865,149.28676
120.0,20.0,0.0,284.71698,116.29039
0.0,40.0,0.0,385.91208,354.80167
20.0,40.0,0.0,373.93558,304.14258
40.0,40.0,0.0,362.67352,257.18854
60.0,40.0,0.0,352.23572,213.81941
80.0,40.0,0.0,342.75925,174.43639
100.0,40.0,0.0,334.11823,138.26544
120.0,40.0,0.0,326.15433,105.71672
0.0,60.0,0.0,439.53198,341.58914
20.0,60.0,0.0,425.5522,291.5271
40.0,60.0,0.0,412.3555,245.0166
60.0,60.0,0.0,399.85873,202.29626
80.0,60.0,0.0,388.26965,163.42038
100.0,60.0,0.0,377.3694,127.79225
120.0,60.0,0.0,367.57822,95.66713
0.0,80.0,0.0,491.83948,327.82413
20.0,80.0,0.0,476.29315,278.67035
40.0,80.0,0.0,461.26178,233.17113
60.0,80.0,0.0,446.84317,191.20082
80.0,80.0,0.0,433.18372,152.89203
100.0,80.0,0.0,420.53195,117.9666
120.0,80.0,0.0,408.56662,86.377365
0.0,100.0,0.0,542.38855,313.81158
20.0,100.0,0.0,525.2879,265.94098
40.0,100.0,0.0,508.6592,221.37123
60.0,100.0,0.0,492.46768,180.4278
80.0,100.0,0.0,477.084,142.88763
100.0,100.0,0.0,462.5641,108.73794
120.0,100.0,0.0,448.9561,77.815796
