x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,300.39893,351.0249
20.0,0.0,0.0,288.34534,325.87054
40.0,0.0,0.0,275.45068,298.93454
60.0,0.0,0.0,261.91736,270.22757
80.0,0.0,0.0,247.81903,239.5147
100.0,0.0,0.0,233.0563,206.82188
120.0,0.0,0.0,217.51736,172.2564
0.0,20.0,0.0,332.1515,344.51602
20.0,20.0,0.0,320.8534,318.86972
40.0,20.0,0.0,308.88718,290.95312
60.0,20.0,0.0,296.25604,261.47534
80.0,20.0,0.0,282.85376,230.01178
100.0,20.0,0.0,268.69354,196.43631
120.0,20.0,0.0,253.8891,160.65056
0.0,40.0,0.0,364.86432,337.29623
20.0,40.0,0.0,354.66214,311.07306
40.0,40.0,0.0,343.66284,282.58444
60.0,40.0,0.0,331.91312,252.43442
80.0,40.0,0.0,319.52408,219.97531
100.0,40.0,0.0,306.24716,185.59802
120.0,40.0,0.0,292.2811,148.7122
0.0,60.0,0.0,398.34183,329.61322
20.0,60.0,0.0,389.17352,302.77057
40.0,60.0,0.0,379.39056,273.89563
60.0,60.0,0.0,368.57544,242.93398
80.0,60.0,0.0,357.27847,209.76619
100.0,60.0,0.0,344.9039,174.39656
120.0,60.0,0.0,331.88586,136.93677
0.0,80.0,0.0,432.2574,321.65695
20.0,80.0,0.0,424.35254,294.18613
40.0,80.0,0.0,415.6203,264.7078
60.0,80.0,0.0,406.15878,233.14912
80.0,80.0,0.0,395.8562,199.32028
100.0,80.0,0.0,384.6924,163.2047
120.0,80.0,0.0,372.687,124.82224
0.0,100.0,0.0,466.57233,313.35406
20.0,100.0,0.0,459.75443,285.36102
40.0,100.0,0.0,452.4115,255.39496
60.0,100.0,0.0,444.10846,223.22183
80.0,100.0,0.0,435.06387,188.84718
100.0,100.0,0.0,425.07095,152.03354
120.0,100.0,0.0,414.142,113.06934
