x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,200.8619,360.3923
20.0,0.0,0.0,203.46745,313.48337
40.0,0.0,0.0,206.89188,268.31717
60.0,0.0,0.0,210.72318,225.57188
80.0,0.0,0.0,214.5205,185.75586
100.0,0.0,0.0,218.90254,148.29486
120.0,0.0,0.0,222.81596,113.47877
0.0,20.0,0.0,247.2427,361.3004
20.0,20.0,0.0,249.1882,313.12146
40.0,20.0,0.0,251.35695,267.44202
60.0,20.0,0.0,253.80925,224.12566
80.0,20.0,0.0,256.63486,183.56514
100.0,20.0,0.0,259.30084,145.65123
120.0,20.0,0.0,262.17212,110.43967
0.0,40.0,0.0,296.22064,361.28577
20.0,40.0,0.0,296.91656,312.4912
40.0,40.0,0.0,297.767,266.107
60.0,40.0,0.0,298.96826,222.38046
80.0,40.0,0.0,300.203,181.50278
100.0,40.0,0.0,301.4168,143.40869
120.0,40.0,0.0,302.75476,108.1774
0.0,60.0,0.0,346.37048,360.64377
20.0,60.0,0.0,345.68555,311.6209
40.0,60.0,0.0,345.38666,264.8058
60.0,60.0,0.0,344.9501,220.59837
80.0,60.0,0.0,344.5914,179.61191
100.0,60.0,0.0,344.3719,141.3419
120.0,60.0,0.0,344.0431,106.07409
0.0,80.0,0.0,396.83725,359.57346
20.0,80.0,0.0,395.264,310.3047
40.0,80.0,0.0,393.39056,263.52917
60.0,80.0,0.0,391.4929,219.45097
80.0,80.0,0.0,389.50812,178.26483
100.0,80.0,0.0,387.67453,139.7919
120.0,80.0,0.0,385.51636,104.339355
0.0,100.0,0.0,447.22266,357.6456
20.0,100.0,0.0,444.4922,308.59192
40.0,100.0,0.0,441.37857,261.94394
60.0,100.0,0.0,437.89355,218.07674
80.0,100.0,0.0,434.3432,176.74315
100.0,100.0,0.0,430.739,138.50395
120.0,100.0,0.0,427.1822,103.398575
