x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,393.67615,357.04645
20.0,0.0,0.0,397.29843,325.64313
40.0,0.0,0.0,400.8121,293.55896
60.0,0.0,0.0,404.44046,260.95605
80.0,0.0,0.0,407.72745,227.80801
100.0,0.0,0.0,410.93216,194.222
120.0,0.0,0.0,414.12994,160.37029
0.0,20.0,0.0,424.47516,363.62097
20.0,20.0,0.0,428.47604,331.66696
40.0,20.0,0.0,432.6348,298.9166
60.0,20.0,0.0,436.23584,265.60645
80.0,20.0,0.0,439.85834,231.56728
100.0,20.0,0.0,443.2756,197.54343
120.0,20.0,0.0,446.64792,162.8539
0.0,40.0,0.0,456.4079,370.087
20.0,40.0,0.0,460.95602,337.61935
40.0,40.0,0.0,465.40414,304.31876
60.0,40.0,0.0,469.4097,270.38278
80.0,40.0,0.0,473.4229,235.74962
100.0,40.0,0.0,476.94385,200.77956
120.0,40.0,0.0,480.31384,165.7956
0.0,60.0,0.0,489.40088,376.55548
20.0,60.0,0.0,494.27197,343.4494
40.0,60.0,0.0,499.15955,309.65234
60.0,60.0,0.0,503.59457,275.15222
80.0,60.0,0.0,507.79526,240.06354
100.0,60.0,0.0,511.51263,204.29514
120.0,60.0,0.0,514.9476,168.60889
0.0,80.0,0.0,522.70575,382.6551
20.0,80.0,0.0,528.421,349.2926
40.0,80.0,0.0,533.65955,315.06442
60.0,80.0,0.0,538.55396,280.19608
80.0,80.0,0.0,542.9146,244.3338
100.0,80.0,0.0,546.9563,208.22887
120.0,80.0,0.0,550.3671,171.93214
0.0,100.0,0.0,556.80756,388.78775
20.0,100.0,0.0,563.0197,355.02795
40.0,100.0,0.0,568.7017,320.59787
60.0,100.0,0.0,573.9541,284.91785
80.0,100.0,0.0,578.6634,248.81592
100.0,100.0,0.0,582.7455,212.21744
120.0,100.0,0.0,586.0951,175.4771
