x_w,y_w,z_w,x_img,y_img
0.0,0.0,0.0,160.0524,306.3398
20.0,0.0,0.0,169.14052,277.4713
40.0,0.0,0.0,178.53265,248.50201
60.0,0.0,0.0,188.29778,219.42232
80.0,0.0,0.0,198.44475,190.62238
100.0,0.0,0.0,208.77922,161.714
120.0,0.0,0.0,219.32857,133.32225
0.0,20.0,0.0,183.22366,317.15662
20.0,20.0,0.0,192.58301,287.62274
40.0,20.0,0.0,202.47928,257.9428
60.0,20.0,0.0,212.42065,228.1423
80.0,20.0,0.0,222.70322,198.39886
100.0,20.0,0.0,233.3727,168.71638
120.0,20.0,0.0,244.12445,139.46277
0.0,40.0,0.0,208.29727,328.62143
20.0,40.0,0.0,217.96436,298.31696
40.0,40.0,0.0,228.09511,267.83282
60.0,40.0,0.0,238.35802,237.24442
80.0,40.0,0.0,248.78815,206.74738
100.0,40.0,0.0,259.5572,176.24435
120.0,40.0,0.0,270.42517,146.20755
0.0,60.0,0.0,234.62526,340.4507
20.0,60.0,0.0,244.6512,309.4114
40.0,60.0,0.0,255.11494,278.30078
60.0,60.0,0.0,265.64996,246.77797
80.0,60.0,0.0,276.39496,215.44963
100.0,60.0,0.0,287.38635,184.2237
120.0,60.0,0.0,298.24597,153.35062
0.0,80.0,0.0,262.53445,352.55753
20.0,80.0,0.0,273.08167,321.06558
40.0,80.0,0.0,283.78433,289.03577
60.0,80.0,0.0,294.52982,256.95105
80.0,80.0,0.0,305.52988,224.80177
100.0,80.0,0.0,316.61014,192.72112
120.0,80.0,0.0,327.56418,161.10507
0.0,100.0,0.0,292.14798,365.20584
20.0,100.0,0.0,303.0149,332.90387
40.0,100.0,0.0,313.89935,300.30966
60.0,100.0,0.0,324.89548,267.4495
80.0,100.0,0.0,336.11438,234.65773
100.0,100.0,0.0,347.21112,201.87799
120.0,100.0,0.0,358.26236,169.28902
